"SignalReasons","Count","TopBlockReason","Lanes","AvgQualityScore","AvgPriceActionScore"
"Diagnostic trend fallback;","8529","session closed","primary","1","10.17"
"BOS;Diagnostic trend fallback;","1960","session closed","primary","3","18.13"
"Liquidity sweep;Diagnostic trend fallback;","612","session closed","primary","3","13.76"
"Liquidity sweep;","325","session closed","primary","2","10.44"
"BOS;","77","session closed","primary","2","12.73"
"BOS;Liquidity sweep;Diagnostic trend fallback;","12","month filter","primary","5","24.92"
"In-session liquidity pullback score 8;ISLP fast EMA;ISLP trend EMA;ISLP EMA pullback;ISLP VWAP pullback;ISLP liquidity/retest;ISLP;In-session liquidity pullback;Diagnostic trend fallback;In-session liquidity pullback lane;","4","minimum RR","breakout_continuation|in_session_liquidity_pullback","4","9.75"
"Flat month structural displacement score 10;FSD ADX;FSD displacement BOS;FSD BOS;FSD displacement;FSD sweep/retest;FSD order flow;Flat month structural displacement;BOS;Diagnostic trend fallback;Flat month structural displacement lane;","4","month filter","breakout_continuation|flat_structural_displacement","6","20.25"
"In-session liquidity pullback score 8;ISLP fast EMA;ISLP trend EMA;ISLP EMA pullback;ISLP VWAP pullback;ISLP liquidity/retest;ISLP;In-session liquidity pullback;Liquidity sweep;Diagnostic trend fallback;In-session liquidity pullback lane;","3","minimum RR","breakout_continuation|in_session_liquidity_pullback","6","15.67"
"Flat month structural displacement score 8;FSD ADX;FSD displacement BOS;FSD BOS;FSD sweep/retest;FSD order flow;Flat month structural displacement;BOS;Diagnostic trend fallback;Flat month structural displacement lane;","2","month filter","breakout_continuation|flat_structural_displacement","6","18.5"
"In-session liquidity pullback score 9;ISLP fast EMA;ISLP trend EMA;ISLP EMA pullback;ISLP VWAP pullback;ISLP liquidity/retest;ISLP order flow;ISLP;In-session liquidity pullback;Diagnostic trend fallback;In-session liquidity pullback lane;","2","minimum RR","breakout_continuation|in_session_liquidity_pullback","4","14"
"In-session liquidity pullback score 7;ISLP fast EMA;ISLP trend EMA;ISLP EMA pullback;ISLP liquidity/retest;ISLP order flow;ISLP;In-session liquidity pullback;Liquidity sweep;Diagnostic trend fallback;In-session liquidity pullback lane;","1","entered buy","breakout_continuation|in_session_liquidity_pullback","6","17"
"In-session liquidity pullback score 7;ISLP fast EMA;ISLP trend EMA;ISLP VWAP pullback;ISLP liquidity/retest;ISLP order flow;ISLP;In-session liquidity pullback;Diagnostic trend fallback;In-session liquidity pullback lane;","1","daily profit lock","breakout_continuation|in_session_liquidity_pullback","4","15"
"Flat month structural displacement score 11;FSD ADX;FSD displacement BOS;FSD BOS;FSD range expansion;FSD displacement;FSD sweep/retest;FSD order flow;Flat month structural displacement;BOS;Diagnostic trend fallback;Flat month structural displacement lane;","1","month filter","breakout_continuation|flat_structural_displacement","6","22"
"Flat month micro reversion score 7;FMR liquidity;FMR rejection;FMR location extreme;FMR VWAP;Flat month micro reversion;Liquidity sweep;Diagnostic trend fallback;Range reversion stop/target;","1","session closed","range_reversion|flat_micro_reversion","5","12"
"In-session liquidity pullback score 7;ISLP fast EMA;ISLP trend EMA;ISLP VWAP pullback;ISLP liquidity/retest;ISLP order flow;ISLP;In-session liquidity pullback;Liquidity sweep;Diagnostic trend fallback;In-session liquidity pullback lane;","1","minimum RR","breakout_continuation|in_session_liquidity_pullback","6","16"
