"Rule","Pass","Detail"
"trade-readiness-gate-enabled","True","The source-level trade-readiness gate must be enabled."
"tester-only-lock-released-for-demo","True","The tester-only lock may be released only for this nonregistered demo draft."
"real-account-trading-disabled","True","Real-account trading must remain disabled."
"symbol-safety-lock","True","Symbol lock and allowed symbol are required."
"starting-capital-contract","True","Starting-capital contract is required."
"currency-contract","True","Account-currency contract is required."
"dedicated-account-contract","True","Dedicated-account contract is required."
"funding-drift-contract","True","Funding-drift contract is required."
"real-account-safety-lock","True","Real-account safety lock is required."
"trade-environment-guard","True","Trade-environment guard is required."
"trade-environment-history","True","At least 250 signal bars are required."
"trade-environment-quote-age","True","Quote-age cap must be 1-60 seconds."
"trade-environment-stop-level","True","Stop-level cap must be positive and no more than 300 points."
"trade-environment-freeze-level","True","Freeze-level cap must be positive and no more than 300 points."
"trade-environment-tick-value","True","Tick-value validation is required."
"risk-percent-cap","True","Risk 0.5% must not exceed 0.75%."
"effective-risk-cap","True","Effective risk 0.5% must not exceed 0.75%."
"open-risk-cap","True","Open risk 0.75% must not exceed 1%."
"position-lot-cap","True","Position cap 0.1 lots must not exceed 0.1."
"simultaneous-position-cap","True","Simultaneous positions must not exceed 1."
"minimum-lot-overflow-disabled","True","Minimum-lot risk overflow must be disabled."
"unprotected-exposure-block","True","Unprotected exposure must be blocked."
"account-wide-exposure-guard","True","Account-wide exposure guard is required."
"account-wide-open-risk-cap","True","Account-wide risk 0.75% must not exceed 1%."
"account-wide-position-cap","True","Account-wide positions must be 1-1."
"account-wide-unprotected-block","True","Account-wide unprotected exposure must be blocked."
"daily-loss-cap","True","Daily loss cap is missing or too high."
"weekly-loss-cap","True","Weekly loss cap is missing or too high."
"monthly-loss-cap","True","Monthly loss cap is missing or too high."
"equity-drawdown-cap","True","Equity drawdown cap is missing or too high."
"risk-limit-close","True","Positions must close on a risk-limit breach."
"daily-loss-count-cap","True","Daily loss-count cap must not exceed one."
"consecutive-loss-cap","True","Consecutive-loss cap must not exceed two."
"loss-cooldown","True","Loss cooldown must be at least 120 minutes."
"loss-streak-risk-reduction","True","Loss-streak risk reduction is required."
"drawdown-risk-reduction","True","Drawdown risk reduction is required."
"drawdown-quality-gate","True","Drawdown quality gate is required."
"loss-risk-scaling","True","Daily, weekly, and monthly loss scaling are required."
"profit-locks","True","Daily, weekly, and monthly profit locks are required."
"profit-giveback-guard","True","Profit-giveback guard is required."
"spread-points-cap","True","Spread-points cap is missing or too high."
"spread-atr-cap","True","Spread-to-ATR cap is missing or too high."
"deviation-cap","True","Slippage/deviation cap is too high."
"spread-adjusted-rr","True","Spread-adjusted RR filter is required."
"spread-guards","True","Spread regime, shock, and scaling guards are required."
"trading-cost-guard","True","Trading-cost guard is required."
"margin-guards","True","All four margin guards are required."
"minimum-margin-level","True","Minimum margin level must be at least 500%."
"take-profit-enabled","True","Take profit is required."
"structure-stop-enabled","True","Structure stop is required."
"liquidity-structure-stop","True","Liquidity-aware structure stop is required."
"liquidity-stop-conflict","True","Liquidity stop-conflict guard is required."
"break-even-enabled","True","Break-even protection is required."
"atr-trailing-enabled","True","ATR trailing is required."
"mfe-profit-lock","True","MFE profit-lock stop is required."
"mfe-giveback-exit","True","MFE giveback exit is required."
"adaptive-reverse-disabled","True","Adaptive Reverse must remain disabled."
"scale-in-disabled","True","Scale-in behavior must remain disabled."
"risk-boosts-disabled","True","Profit- and streak-based risk boosts must remain disabled."
"unlimited-runners-disabled","True","Unlimited runners must remain disabled."
"fmlr-lane-disabled","True","Experimental FMLR behavior must remain disabled."
"band-vwap-reversion-safety-contract","True","Validated lane requires isolated execution, <=0.45% requested risk, bounded frequency/spread/stop, >=1.20 RR, DI >= -12, and D1 momentum <=12%; requested risk=0.45%."
"tick-speed-impulse-disabled","True","Tick-speed impulse must remain disabled."
