"QueueRank","Candidate","Phase","PhaseLabel","Window","Model","Deposit","PackageConfig","SourceConfig","ExpectedReportName","ReportDestination","ProfileSha256","StopRule"
"1","m15vcra_center","discovery_model1","Independent M15 volume-climax reversal activity discovery Model1","older_2015_2018","1","10000","outputs\independent_m15_volume_climax_reversal_activity_discovery_model1_package\configs\001_m15vcra_center_older_2015_2018_m1.ini","outputs\independent_m15_volume_climax_reversal_activity_discovery_model1_package\configs\001_m15vcra_center_older_2015_2018_m1.ini","m15vcra_center_older_2015_2018_m1","outputs\independent_m15_volume_climax_reversal_activity_discovery_model1_package\reports_here\m15vcra_center_older_2015_2018_m1","7505317EC4D008E51B292E8856ADB1407C107BE9F138FFD79F8BF73577D79AC7","Final activity discovery only: both disjoint eras must be positive; continuous PF >= 1.20, trades >= 120, DD <= 5%, and an adjacent activity shape must pass before opening 2021-2026."
"2","m15vcra_center","discovery_model1","Independent M15 volume-climax reversal activity discovery Model1","discovery_2019_2020","1","10000","outputs\independent_m15_volume_climax_reversal_activity_discovery_model1_package\configs\002_m15vcra_center_discovery_2019_2020_m1.ini","outputs\independent_m15_volume_climax_reversal_activity_discovery_model1_package\configs\002_m15vcra_center_discovery_2019_2020_m1.ini","m15vcra_center_discovery_2019_2020_m1","outputs\independent_m15_volume_climax_reversal_activity_discovery_model1_package\reports_here\m15vcra_center_discovery_2019_2020_m1","7505317EC4D008E51B292E8856ADB1407C107BE9F138FFD79F8BF73577D79AC7","Final activity discovery only: both disjoint eras must be positive; continuous PF >= 1.20, trades >= 120, DD <= 5%, and an adjacent activity shape must pass before opening 2021-2026."
"3","m15vcra_center","discovery_model1","Independent M15 volume-climax reversal activity discovery Model1","continuous_2015_2020","1","10000","outputs\independent_m15_volume_climax_reversal_activity_discovery_model1_package\configs\003_m15vcra_center_continuous_2015_2020_m1.ini","outputs\independent_m15_volume_climax_reversal_activity_discovery_model1_package\configs\003_m15vcra_center_continuous_2015_2020_m1.ini","m15vcra_center_continuous_2015_2020_m1","outputs\independent_m15_volume_climax_reversal_activity_discovery_model1_package\reports_here\m15vcra_center_continuous_2015_2020_m1","7505317EC4D008E51B292E8856ADB1407C107BE9F138FFD79F8BF73577D79AC7","Final activity discovery only: both disjoint eras must be positive; continuous PF >= 1.20, trades >= 120, DD <= 5%, and an adjacent activity shape must pass before opening 2021-2026."
"4","m15vcra_vol100","discovery_model1","Independent M15 volume-climax reversal activity discovery Model1","older_2015_2018","1","10000","outputs\independent_m15_volume_climax_reversal_activity_discovery_model1_package\configs\004_m15vcra_vol100_older_2015_2018_m1.ini","outputs\independent_m15_volume_climax_reversal_activity_discovery_model1_package\configs\004_m15vcra_vol100_older_2015_2018_m1.ini","m15vcra_vol100_older_2015_2018_m1","outputs\independent_m15_volume_climax_reversal_activity_discovery_model1_package\reports_here\m15vcra_vol100_older_2015_2018_m1","42A2C2C67FC6278808FB6E3BEF86BC6CDCEF729551D966A9117711E0D11D0421","Final activity discovery only: both disjoint eras must be positive; continuous PF >= 1.20, trades >= 120, DD <= 5%, and an adjacent activity shape must pass before opening 2021-2026."
"5","m15vcra_vol100","discovery_model1","Independent M15 volume-climax reversal activity discovery Model1","discovery_2019_2020","1","10000","outputs\independent_m15_volume_climax_reversal_activity_discovery_model1_package\configs\005_m15vcra_vol100_discovery_2019_2020_m1.ini","outputs\independent_m15_volume_climax_reversal_activity_discovery_model1_package\configs\005_m15vcra_vol100_discovery_2019_2020_m1.ini","m15vcra_vol100_discovery_2019_2020_m1","outputs\independent_m15_volume_climax_reversal_activity_discovery_model1_package\reports_here\m15vcra_vol100_discovery_2019_2020_m1","42A2C2C67FC6278808FB6E3BEF86BC6CDCEF729551D966A9117711E0D11D0421","Final activity discovery only: both disjoint eras must be positive; continuous PF >= 1.20, trades >= 120, DD <= 5%, and an adjacent activity shape must pass before opening 2021-2026."
"6","m15vcra_vol100","discovery_model1","Independent M15 volume-climax reversal activity discovery Model1","continuous_2015_2020","1","10000","outputs\independent_m15_volume_climax_reversal_activity_discovery_model1_package\configs\006_m15vcra_vol100_continuous_2015_2020_m1.ini","outputs\independent_m15_volume_climax_reversal_activity_discovery_model1_package\configs\006_m15vcra_vol100_continuous_2015_2020_m1.ini","m15vcra_vol100_continuous_2015_2020_m1","outputs\independent_m15_volume_climax_reversal_activity_discovery_model1_package\reports_here\m15vcra_vol100_continuous_2015_2020_m1","42A2C2C67FC6278808FB6E3BEF86BC6CDCEF729551D966A9117711E0D11D0421","Final activity discovery only: both disjoint eras must be positive; continuous PF >= 1.20, trades >= 120, DD <= 5%, and an adjacent activity shape must pass before opening 2021-2026."
"7","m15vcra_vol110","discovery_model1","Independent M15 volume-climax reversal activity discovery Model1","older_2015_2018","1","10000","outputs\independent_m15_volume_climax_reversal_activity_discovery_model1_package\configs\007_m15vcra_vol110_older_2015_2018_m1.ini","outputs\independent_m15_volume_climax_reversal_activity_discovery_model1_package\configs\007_m15vcra_vol110_older_2015_2018_m1.ini","m15vcra_vol110_older_2015_2018_m1","outputs\independent_m15_volume_climax_reversal_activity_discovery_model1_package\reports_here\m15vcra_vol110_older_2015_2018_m1","F39F33004177B5AA07F142784DA3EB01A9AF27B69FCCF373969E1696A1D44C45","Final activity discovery only: both disjoint eras must be positive; continuous PF >= 1.20, trades >= 120, DD <= 5%, and an adjacent activity shape must pass before opening 2021-2026."
"8","m15vcra_vol110","discovery_model1","Independent M15 volume-climax reversal activity discovery Model1","discovery_2019_2020","1","10000","outputs\independent_m15_volume_climax_reversal_activity_discovery_model1_package\configs\008_m15vcra_vol110_discovery_2019_2020_m1.ini","outputs\independent_m15_volume_climax_reversal_activity_discovery_model1_package\configs\008_m15vcra_vol110_discovery_2019_2020_m1.ini","m15vcra_vol110_discovery_2019_2020_m1","outputs\independent_m15_volume_climax_reversal_activity_discovery_model1_package\reports_here\m15vcra_vol110_discovery_2019_2020_m1","F39F33004177B5AA07F142784DA3EB01A9AF27B69FCCF373969E1696A1D44C45","Final activity discovery only: both disjoint eras must be positive; continuous PF >= 1.20, trades >= 120, DD <= 5%, and an adjacent activity shape must pass before opening 2021-2026."
"9","m15vcra_vol110","discovery_model1","Independent M15 volume-climax reversal activity discovery Model1","continuous_2015_2020","1","10000","outputs\independent_m15_volume_climax_reversal_activity_discovery_model1_package\configs\009_m15vcra_vol110_continuous_2015_2020_m1.ini","outputs\independent_m15_volume_climax_reversal_activity_discovery_model1_package\configs\009_m15vcra_vol110_continuous_2015_2020_m1.ini","m15vcra_vol110_continuous_2015_2020_m1","outputs\independent_m15_volume_climax_reversal_activity_discovery_model1_package\reports_here\m15vcra_vol110_continuous_2015_2020_m1","F39F33004177B5AA07F142784DA3EB01A9AF27B69FCCF373969E1696A1D44C45","Final activity discovery only: both disjoint eras must be positive; continuous PF >= 1.20, trades >= 120, DD <= 5%, and an adjacent activity shape must pass before opening 2021-2026."
"10","m15vcra_vol120","discovery_model1","Independent M15 volume-climax reversal activity discovery Model1","older_2015_2018","1","10000","outputs\independent_m15_volume_climax_reversal_activity_discovery_model1_package\configs\010_m15vcra_vol120_older_2015_2018_m1.ini","outputs\independent_m15_volume_climax_reversal_activity_discovery_model1_package\configs\010_m15vcra_vol120_older_2015_2018_m1.ini","m15vcra_vol120_older_2015_2018_m1","outputs\independent_m15_volume_climax_reversal_activity_discovery_model1_package\reports_here\m15vcra_vol120_older_2015_2018_m1","C6DDB379D415D986C1B07117F05C0C4DE5ECBDC9554989B676477B18AC7BF687","Final activity discovery only: both disjoint eras must be positive; continuous PF >= 1.20, trades >= 120, DD <= 5%, and an adjacent activity shape must pass before opening 2021-2026."
